,sleep_stage,parcel_key,cortex,epoch_length,powerallfreq,psd_raw_delta,psd_raw_theta,psd_raw_alpha,psd_raw_beta,psd_raw_gamma,psd_norm_delta,psd_norm_theta,psd_norm_alpha,psd_norm_beta,psd_norm_gamma,adr,psd_tot,spectral_entropy,pe_delta,pe_theta,pe_alpha,pe_beta,pe_gamma,komp,powerallfreq_std,psd_raw_delta_std,psd_raw_theta_std,psd_raw_alpha_std,psd_raw_beta_std,psd_raw_gamma_std,psd_norm_delta_std,psd_norm_theta_std,psd_norm_alpha_std,psd_norm_beta_std,psd_norm_gamma_std,adr_std,psd_tot_std,spectral_entropy_std,pe_delta_std,pe_theta_std,pe_alpha_std,pe_beta_std,pe_gamma_std,komp_std,n_recordings,n_patients,parcel_name,lobe
0,N2,front_ant_cing,healthy,2,1.03242044044283e-12,5.32686937527789e-11,3.2481004449193897e-11,2.08758838453605e-11,9.05337522138509e-12,1.37691275113414e-12,0.460191162039327,0.337161711125437,0.216299490031211,0.112767028868552,0.0183163875013909,0.566049681654841,1.03242044044283e-10,2.71607915141242,0.927019496782915,0.947700011236101,0.896938243157095,0.832526806114144,0.796470124067179,0.628833333333333,,,,,,,,,,,,,,,,,,,,,1,1,Anterior cingulate,Frontal
1,N2,front_ant_cing,healthy,5,8.41944306859029e-13,2.9645137016795295e-11,5.51486866438733e-12,3.825019634245e-12,1.7578979043697498e-12,1.7472671135864e-13,0.733564197268289,0.164879596981626,0.11835505354471,0.0631517768742415,0.0136289017463665,0.183517415046138,3.7887493808656295e-11,2.00013430303656,0.916967097490217,0.884096874225217,0.875294725729307,0.821494619329884,0.751900615070634,0.489923076923077,,,,,,,,,,,,,,,,,,,,,1,1,Anterior cingulate,Frontal
2,N2,front_ant_cing,healthy,10,9.312272352003869e-13,3.31795226233503e-11,5.9060192901575596e-12,4.03297626556605e-12,1.8505087713415797e-12,1.87501381798027e-13,0.771906723808977,0.151003137455014,0.106129730052282,0.0498701357557194,0.0056738226604532,0.14517126561366,4.1905225584017395e-11,1.92807378594732,0.93208632663376,0.908598071510959,0.899850778511821,0.848008599205683,0.777503861411192,0.498,,,,,,,,,,,,,,,,,,,,,1,1,Anterior cingulate,Frontal
3,N2,front_centr_op,healthy,2,3.58116145819653e-13,1.46205934909486e-11,5.71855270689827e-12,6.27098529180056e-12,1.1898224040266199e-11,6.087824414683479e-13,0.383967980831774,0.16578781276852,0.170146063948171,0.353624775423441,0.0225475213797493,0.658069288453924,3.5811614581965296e-11,3.04183531442799,0.925405351503015,0.918965071095229,0.949063495244519,0.880365231644917,0.788445332282482,0.6455,,,,,,,,,,,,,,,,,,,,,1,1,Central operculum,Frontal
4,N2,front_centr_op,healthy,5,4.0751898633988094e-11,1.3948150502552802e-09,2.26839133907596e-10,2.12712045807959e-10,1.23878854535979e-10,1.4362309082173798e-11,0.76448052463591,0.113606828768079,0.105724641939634,0.0711707643876685,0.0146655963399122,0.14447226989297,1.83383543852947e-09,1.93124472823682,0.842479594597866,0.879339727029412,0.892378770309485,0.854665116423752,0.750159717381402,0.507153846153846,,,,,,,,,,,,,,,,,,,,,1,1,Central operculum,Frontal
5,N2,front_centr_op,healthy,10,5.091731534043389e-12,1.28821803695965e-10,3.8743121580297294e-11,3.7646824658931296e-11,3.71205048553578e-11,1.06517212991017e-11,0.558070913893053,0.169640657336416,0.165189683279775,0.163849501627016,0.0476591913800102,0.304208933662861,2.2912791903195301e-10,2.75885534873278,0.898377160039368,0.929660943833204,0.93245440150639,0.90759522946554,0.819830147051656,0.564833333333333,,,,,,,,,,,,,,,,,,,,,1,1,Central operculum,Frontal
6,N2,front_med,healthy,2,9.90389692196694e-12,5.40020567241134e-10,1.59240934568287e-10,1.3122823811660501e-10,2.54589207105012e-10,3.82973328080192e-12,0.506268703968301,0.178168864043027,0.15375771143052,0.270456779614469,0.0053129897415042,0.498656932816696,9.90389692196694e-10,2.58074370294436,0.911678552155079,0.907110175767425,0.933690565834506,0.825806582908707,0.719787028148211,0.612583333333333,,,,,,,,,,,,,,,,,,,,,1,1,Medial frontal cortex,Frontal
7,N2,front_med,healthy,5,2.19747691160859e-10,8.734623011260051e-09,1.16840245588164e-09,3.16977035636638e-10,1.99661043145535e-10,3.0823315674667194e-11,0.843207968142462,0.121009242319744,0.0397062967770351,0.0367572349347539,0.0184901876824911,0.0480887066640955,9.888646102238662e-09,1.68939987338638,0.831717479007008,0.829574821698142,0.817529453790294,0.791371317423427,0.728468933805758,0.469846153846154,,,,,,,,,,,,,,,,,,,,,1,1,Medial frontal cortex,Frontal
8,N2,front_med,healthy,10,3.0592177814576795e-11,1.14166086185039e-09,2.06897591907769e-10,6.08056795113632e-11,5.2728589698147295e-11,1.3731401143556299e-11,0.827568531720553,0.149680413144631,0.0442415579696355,0.0403840525719005,0.0106141609009593,0.0537951366013564,1.3766480016559601e-09,1.91517327635124,0.908107888095013,0.883117000329515,0.888016484076134,0.877844844474148,0.817675185984217,0.503833333333333,,,,,,,,,,,,,,,,,,,,,1,1,Medial frontal cortex,Frontal
9,N2,front_med_prec,healthy,2,3.8056480395207793e-11,2.61757391015274e-09,4.4642642135067603e-10,2.74244312136593e-10,5.893703062324401e-10,9.09374542018279e-11,0.566899862834197,0.138881610195932,0.108030357911103,0.212681946784665,0.0442320774308022,0.335463770440406,3.80564803952078e-09,2.57856786935257,0.883429719226849,0.909980362082765,0.919722495472964,0.909338967608802,0.814027748236305,0.628,,,,,,,,,,,,,,,,,,,,,1,1,Medial segment of precentral gyrus,Frontal
10,N2,front_med_prec,healthy,5,1.1728018243110798e-11,3.0793835420112e-10,1.57811907450582e-10,8.949088928999119e-11,4.85327454286902e-11,8.03115568451031e-12,0.564400669118383,0.282821922404507,0.167021635171594,0.102132196866182,0.0335653212879471,0.312889341876295,5.27760820939987e-10,2.61174351471773,0.912421164605217,0.906435996230193,0.887230029950344,0.833744506845965,0.762329585899463,0.530384615384615,,,,,,,,,,,,,,,,,,,,,1,1,Medial segment of precentral gyrus,Frontal
11,N2,front_med_prec,healthy,10,9.898088695065849e-11,3.4375883682564702e-09,7.95392794428916e-10,2.70685868641725e-10,3.79423556125397e-10,2.8592032149605396e-11,0.736916695959712,0.196407247322047,0.0722364164132475,0.100735400924854,0.0076722017462024,0.118068109289749,4.454139912779631e-09,2.12524600317046,0.925047153677648,0.899278667508017,0.898459497945422,0.856670124039783,0.779113694737602,0.51,,,,,,,,,,,,,,,,,,,,,1,1,Medial segment of precentral gyrus,Frontal
12,N2,front_med_sup,healthy,2,1.28405383540561e-11,8.840377615691801e-10,1.62463083319724e-10,1.58304678345936e-10,1.58665397471453e-10,1.53737694105789e-11,0.586859051121886,0.147771509338998,0.159661163596777,0.173031045367003,0.0218758555409798,0.34311712751185,1.28405383540561e-09,2.58688175314622,0.882220309669448,0.906895967911672,0.9283930397137,0.861443238226,0.802709721045318,0.627,,,,,,,,,,,,,,,,,,,,,1,1,Medial segment of superior frontal gyrus,Frontal
13,N2,front_med_sup,healthy,5,1.4959267251155198e-11,4.54393288819218e-10,9.00333216725941e-11,1.40937727322409e-10,3.6125374597720194e-11,3.82140442131475e-12,0.69424341509618,0.127836777064177,0.17896942592562,0.0637154200447068,0.0126778732703597,0.309468718278932,6.731670263019831e-10,2.0086301775405,0.849496768635949,0.862720553333501,0.876964355212878,0.83192956464275,0.751913995960006,0.489230769230769,,,,,,,,,,,,,,,,,,,,,1,1,Medial segment of superior frontal gyrus,Frontal
14,N2,front_med_sup,healthy,10,8.4011099389899e-11,2.1557851052584804e-09,4.812014540509501e-10,1.04041396249265e-09,4.64753666843465e-10,2.58416970033846e-11,0.557018012746569,0.133488810907536,0.284785672448327,0.122441695956035,0.0072455160289241,0.544319382579438,3.78049947254546e-09,2.46779849770042,0.898474529757725,0.911538509805709,0.93108053878592,0.852442820693246,0.743856285476524,0.519833333333333,,,,,,,,,,,,,,,,,,,,,1,1,Medial segment of superior frontal gyrus,Frontal
15,N2,front_mid_cing,healthy,2,8.39691459942474e-12,5.05864212814341e-10,9.73917966780075e-11,1.317681210959e-10,1.56372802936748e-10,1.3126963532133098e-11,0.523749066681027,0.157305363804177,0.165621606539785,0.21214852269665,0.0307273403981617,0.410189973152537,8.39691459942474e-10,2.73712598676173,0.893955658999851,0.912525746425485,0.93487311172294,0.859100127503817,0.818569331273532,0.638333333333333,,,,,,,,,,,,,,,,,,,,,1,1,Middle cingulate,Frontal
16,N2,front_mid_cing,healthy,5,4.6729703805373003e-11,1.7899168544498501e-09,2.32878284058946e-10,1.35880202870838e-10,7.93272318772174e-11,9.291507726078199e-12,0.752862448774621,0.150305692350957,0.0965508848596714,0.0750520529794962,0.0171226645974795,0.151209912834061,2.10283667124179e-09,1.98400451570278,0.911877158621411,0.891334659013962,0.887620070234784,0.835928638307026,0.76796603769991,0.488384615384615,,,,,,,,,,,,,,,,,,,,,1,1,Middle cingulate,Frontal
17,N2,front_mid_cing,healthy,10,1.4191890330864098e-11,3.72521922009149e-10,8.28395042477245e-11,1.4715112961325002e-10,1.0362287091956201e-10,6.661204665908049e-12,0.565831353569927,0.142051152197267,0.229520350014985,0.168335903085087,0.0129817701103073,0.41149858875414,6.38635064888883e-10,2.55738580365432,0.907312748648764,0.918438196112174,0.937500056225348,0.861893652074283,0.783778516478711,0.544166666666667,,,,,,,,,,,,,,,,,,,,,1,1,Middle cingulate,Frontal
18,N2,front_mid_front,healthy,2,3.64276709130111e-11,2.6703699405229e-09,4.12350938002673e-10,2.8548473242962603e-10,4.16279917998827e-10,5.1251926301271494e-11,0.636804643520401,0.158306193609047,0.106483682265937,0.145855851598767,0.0276210235237566,0.196379624193889,3.6427670913011103e-09,2.49237242880945,0.879929614038608,0.897953816443568,0.923161382707631,0.871295793037243,0.817571759543158,0.62175,,,,,,,,,,,,,,,,,,,,,1,1,Middle frontal gyrus,Frontal
19,N2,front_mid_front,healthy,5,1.12161733404328e-10,7.704686985216821e-09,1.0942822071539701e-09,5.35426170453738e-10,2.59313945009075e-10,1.48518334230737e-11,0.804086355306595,0.159081681574236,0.0875407750469541,0.0382254804625772,0.0022855714043494,0.126135408700294,8.972938672346211e-09,1.84842833765098,0.908408996831272,0.876731894742251,0.873941538931196,0.800130772610302,0.693406585990539,0.470363636363636,,,,,,,,,,,,,,,,,,,,,1,1,Middle frontal gyrus,Frontal
20,N2,front_mid_front,healthy,10,4.8538502414835894e-11,1.3857759576309702e-09,5.66173636368938e-10,2.9117511716483e-10,1.81074555283127e-10,3.07167014732141e-11,0.605789118188949,0.271620243273507,0.145695518806257,0.0931877784631744,0.0169773770755354,0.258470041945583,2.1842326086676203e-09,2.56195000023704,0.92550718266254,0.921951172806589,0.894892402828316,0.869720329019505,0.789536791248672,0.5345,,,,,,,,,,,,,,,,,,,,,1,1,Middle frontal gyrus,Frontal
21,N2,front_op_inf,healthy,2,7.954354093784499e-12,5.941955676284701e-10,1.03053742283384e-10,5.5978719357104095e-11,7.153838787052109e-11,1.1524876710311199e-11,0.65266379194708,0.155360743699245,0.0898317590274695,0.14207935562871,0.0272625271534246,0.154914481218307,7.954354093784501e-10,2.57336378433944,0.898288207331,0.892972371476025,0.916326228891456,0.882549796192112,0.83757187770404,0.63225,,,,,,,,,,,,,,,,,,,,,1,1,Opercular part of inferior frontal gyrus,Frontal
